iter	Passed	Remaining
0	1	187
1	3	169
2	4	158
3	6	148
4	7	146
5	9	143
6	10	141
7	12	140
8	13	139
9	15	138
10	16	136
11	18	134
12	19	132
13	21	131
14	22	129
15	24	128
16	25	126
17	27	124
18	29	124
19	30	122
20	32	120
21	33	118
22	34	117
23	36	115
24	37	113
25	39	112
26	40	110
27	42	109
28	44	107
29	45	106
30	47	104
31	48	102
32	49	101
33	51	99
34	52	98
35	54	96
36	55	95
37	57	94
38	59	92
39	60	91
40	62	89
41	62	86
42	64	85
43	65	83
44	67	82
45	68	80
46	70	79
47	71	77
48	73	76
49	74	74
50	76	73
51	77	71
52	79	70
53	81	69
54	81	67
55	83	65
56	84	64
57	86	62
58	87	61
59	89	59
60	90	58
61	92	56
62	93	55
63	95	53
64	96	52
65	98	50
66	99	49
67	101	47
68	102	46
69	104	44
70	105	43
71	107	41
72	108	40
73	110	38
74	111	37
75	113	35
76	114	34
77	116	32
78	117	31
79	119	29
80	120	28
81	122	26
82	123	25
83	125	23
84	126	22
85	128	20
86	129	19
87	131	17
88	133	16
89	134	14
90	136	13
91	137	11
92	139	10
93	140	8
94	142	7
95	143	5
96	145	4
97	146	2
98	148	1
99	150	0
