iter	Passed	Remaining
0	160	159960
1	162	81297
2	165	54956
3	167	41770
4	170	33865
5	172	28586
6	175	24926
7	178	22123
8	180	19911
9	183	18141
10	185	16687
11	190	15651
12	192	14652
13	195	13795
14	198	13024
15	200	12348
16	204	11810
17	206	11278
18	209	10799
19	211	10368
20	213	9972
21	216	9609
22	219	9313
23	221	9019
24	224	8749
25	227	8535
26	230	8300
27	235	8179
28	238	7969
29	240	7773
30	242	7587
31	244	7409
32	248	7276
33	251	7138
34	253	6991
35	255	6854
36	258	6724
37	261	6610
38	264	6526
39	269	6467
40	271	6358
41	274	6256
42	276	6162
43	301	6544
44	304	6454
45	306	6358
46	321	6519
47	324	6435
48	332	6454
49	335	6372
50	339	6308
51	345	6295
52	347	6212
53	350	6131
54	353	6065
55	355	6000
56	411	6807
57	414	6726
58	416	6650
59	419	6568
60	426	6564
61	429	6502
62	433	6442
63	435	6367
64	464	6677
65	470	6658
66	476	6636
67	484	6640
68	497	6713
69	501	6658
70	512	6710
71	517	6670
72	525	6671
73	528	6616
74	531	6554
75	538	6542
76	542	6501
77	547	6472
78	554	6463
79	556	6401
80	558	6340
81	561	6281
82	565	6250
83	572	6239
84	578	6223
85	580	6171
86	587	6165
87	590	6123
88	593	6073
89	595	6025
90	601	6008
91	606	5989
92	612	5969
93	620	5981
94	623	5935
95	625	5892
96	628	5854
97	638	5877
98	649	5911
99	654	5888
100	671	5974
101	677	5961
102	679	5918
103	684	5900
104	689	5876
105	697	5882
106	699	5841
107	702	5799
108	704	5761
109	707	5722
110	715	5733
111	720	5712
112	722	5674
113	729	5672
114	732	5637
115	734	5599
116	736	5558
117	744	5562
118	748	5538
119	751	5510
120	753	5477
121	763	5493
122	768	5477
123	774	5473
124	777	5445
125	783	5434
126	789	5430
127	792	5398
128	794	5367
129	797	5340
130	800	5308
131	804	5291
132	807	5261
133	809	5231
134	811	5202
135	814	5173
136	816	5144
137	820	5123
138	822	5097
139	825	5071
140	828	5045
141	829	5012
142	836	5012
143	839	4989
144	843	4971
145	855	5003
146	858	4980
147	861	4958
148	864	4938
149	869	4926
150	872	4907
151	875	4882
152	877	4857
153	880	4839
154	891	4858
155	898	4860
156	903	4852
157	906	4830
158	916	4846
159	918	4822
160	919	4793
161	922	4770
162	927	4761
163	930	4744
164	933	4722
165	935	4699
166	938	4683
167	942	4666
168	956	4701
169	960	4688
170	966	4683
171	968	4664
172	971	4642
173	973	4621
174	989	4665
175	993	4652
176	1004	4672
177	1007	4651
178	1009	4630
179	1013	4617
180	1015	4596
181	1018	4576
182	1020	4557
183	1023	4536
184	1025	4516
185	1028	4499
186	1031	4483
187	1040	4492
188	1042	4474
189	1061	4526
190	1064	4508
191	1066	4489
192	1069	4470
193	1071	4451
